(349,  12.30) 
(350,  14.35) 
(351,  16.40) 
(352,  18.45) 
(353,  20.50) 
(354,  22.55) 
(355,  24.60) 
(356,  26.65) 
(357,  28.70) 
(358,  30.75) 
(359,  32.80) 
(360,  34.85) 
(361,  36.90) 
(362,  38.95) 
(363,  41.00) 
(364,  43.05) 
(365,  45.10) 
(366,  47.15) 
(367,  49.20) 
(368,  51.25) 
(369,  53.30) 
(370,  55.35) 
(371,  57.40) 
(372,  59.45) 
(373,  61.50) 
(374,  63.55) 
(375,  65.60) 
(376,  67.65) 
(377,  69.70) 
(378,  71.75) 
(379,  73.80) 
(380,  75.85) 
(381,  77.90) 
(382,  79.95) 
(383,  82.00) 
(384,  84.05) 
(384,  82.00) 
(385,  84.71) 
(386,  87.42) 
(387,  90.13) 
(388,  92.83) 
(389,  95.54) 
(390,  98.25) 
(391,  100.96) 
(392,  103.67) 
(393,  106.38) 
(394,  109.08) 
(395,  111.79) 
(396,  114.50) 
(397,  117.21) 
(398,  119.92) 
(399,  122.63) 
(400,  125.33) 
(401,  128.04) 
(402,  130.75) 
(403,  133.46) 
(404,  136.17) 
(405,  138.88) 
(406,  141.58) 
(407,  144.29) 
(408,  147.00) 
(409,  149.71) 
(410,  152.42) 
(411,  155.13) 
(412,  157.83) 
(413,  160.54) 
(414,  163.25) 
(415,  165.96) 
(416,  168.67) 
(417,  171.38) 
(418,  174.08) 
(419,  176.79) 
(420,  179.50) 
(421,  182.21) 
(422,  184.92) 
(423,  187.63) 
(424,  190.33) 
(425,  193.04) 
(426,  195.75) 
(427,  198.46) 
(428,  201.17) 
(429,  203.88) 
(430,  206.58) 
(431,  209.29) 
(432,  212.00) 
(432,  212.00) 
(433,  215.23) 
(434,  218.46) 
(435,  221.69) 
(436,  224.92) 
(437,  228.15) 
(438,  231.38) 
(439,  234.62) 
(440,  237.85) 
(441,  241.08) 
(442,  244.31) 
(443,  247.54) 
(444,  250.77) 
(445,  254.00) 
(446,  257.23) 
(447,  260.46) 
(448,  263.69) 
(449,  266.92) 
(450,  270.15) 
(451,  273.38) 
(452,  276.62) 
(453,  279.85) 
(454,  283.08) 
(455,  286.31) 
(456,  289.54) 
(457,  292.77) 
(458,  296.00) 
(459,  299.23) 
(460,  302.46) 
(461,  305.69) 
(462,  308.92) 
(463,  312.15) 
(464,  315.38) 
(465,  318.62) 
(466,  321.85) 
(467,  325.08) 
(468,  328.31) 
(469,  331.54) 
(470,  334.77) 
(471,  338.00) 
(472,  341.23) 
(473,  344.46) 
(474,  347.69) 
(475,  350.92) 
(476,  354.15) 
(477,  357.38) 
(478,  360.62) 
(479,  363.85) 
(480,  367.08) 
(481,  370.31) 
(482,  373.54) 
(483,  376.77) 
(484,  380.00) 
(484,  380.00) 
(485,  382.97) 
(486,  385.93) 
(487,  388.90) 
(488,  391.86) 
(489,  394.83) 
(490,  397.79) 
(491,  400.76) 
(492,  403.72) 
(493,  406.69) 
(494,  409.66) 
(495,  412.62) 
(496,  415.59) 
(497,  418.55) 
(498,  421.52) 
(499,  424.48) 
(500,  427.45) 
(501,  430.41) 
(502,  433.38) 
(503,  436.34) 
(504,  439.31) 
(505,  442.28) 
(506,  445.24) 
(507,  448.21) 
(508,  451.17) 
(509,  454.14) 
(510,  457.10) 
(511,  460.07) 
(512,  463.03) 
(513,  466.00) 
(514,  468.97) 
(515,  471.93) 
(516,  474.90) 
(517,  477.86) 
(518,  480.83) 
(519,  483.79) 
(520,  486.76) 
(521,  489.72) 
(522,  492.69) 
(523,  495.66) 
(524,  498.62) 
(525,  501.59) 
(526,  504.55) 
(527,  507.52) 
(528,  510.48) 
(529,  513.45) 
(530,  516.41) 
(531,  519.38) 
(532,  522.34) 
(533,  525.31) 
(534,  528.28) 
(535,  531.24) 
(536,  534.21) 
(537,  537.17) 
(538,  540.14) 
(539,  543.10) 
(540,  546.07) 
(541,  549.03) 
(542,  552.00) 
(542,  552.00) 
(543,  555.15) 
(544,  558.30) 
(545,  561.44) 
(546,  564.59) 
(547,  567.74) 
(548,  570.89) 
(549,  574.04) 
(550,  577.19) 
(551,  580.33) 
(552,  583.48) 
(553,  586.63) 
(554,  589.78) 
(555,  592.93) 
(556,  596.07) 
(557,  599.22) 
(558,  602.37) 
(559,  605.52) 
(560,  608.67) 
(561,  611.81) 
(562,  614.96) 
(563,  618.11) 
(564,  621.26) 
(565,  624.41) 
(566,  627.56) 
(567,  630.70) 
(568,  633.85) 
(569,  637.00) 
(570,  640.15) 
(571,  643.30) 
(572,  646.44) 
(573,  649.59) 
(574,  652.74) 
(575,  655.89) 
(576,  659.04) 
(577,  662.19) 
(578,  665.33) 
(579,  668.48) 
(580,  671.63) 
(581,  674.78) 
(582,  677.93) 
(583,  681.07) 
(584,  684.22) 
(585,  687.37) 
(586,  690.52) 
(587,  693.67) 
(588,  696.81) 
(589,  699.96) 
(590,  703.11) 
(591,  706.26) 
(592,  709.41) 
(593,  712.56) 
(594,  715.70) 
(595,  718.85) 
(596,  722.00) 
(596,  722.00) 
(597,  724.45) 
(598,  726.90) 
(599,  729.34) 
(600,  731.79) 
(601,  734.24) 
(602,  736.69) 
(603,  739.14) 
(604,  741.59) 
(605,  744.03) 
(606,  746.48) 
(607,  748.93) 
(608,  751.38) 
(609,  753.83) 
(610,  756.28) 
(611,  758.72) 
(612,  761.17) 
(613,  763.62) 
(614,  766.07) 
(615,  768.52) 
(616,  770.97) 
(617,  773.41) 
(618,  775.86) 
(619,  778.31) 
(620,  780.76) 
(621,  783.21) 
(622,  785.66) 
(623,  788.10) 
(624,  790.55) 
(625,  793.00) 
(626,  795.45) 
(627,  797.90) 
(628,  800.34) 
(629,  802.79) 
(630,  805.24) 
(631,  807.69) 
(632,  810.14) 
(633,  812.59) 
(634,  815.03) 
(635,  817.48) 
(636,  819.93) 
(637,  822.38) 
(638,  824.83) 
(639,  827.28) 
(640,  829.72) 
(641,  832.17) 
(642,  834.62) 
(643,  837.07) 
(644,  839.52) 
(645,  841.97) 
(646,  844.41) 
(647,  846.86) 
(648,  849.31) 
(649,  851.76) 
(650,  854.21) 
(651,  856.66) 
(652,  859.10) 
(653,  861.55) 
(654,  864.00) 
(654,  864.00) 
(655,  866.08) 
(656,  868.17) 
(657,  870.25) 
(658,  872.33) 
(659,  874.42) 
(660,  876.50) 
(661,  878.58) 
(662,  880.67) 
(663,  882.75) 
(664,  884.83) 
(665,  886.92) 
(666,  889.00) 
(667,  891.08) 
(668,  893.17) 
(669,  895.25) 
(670,  897.33) 
(671,  899.42) 
(672,  901.50) 
(673,  903.58) 
(674,  905.67) 
(675,  907.75) 
(676,  909.83) 
(677,  911.92) 
(678,  914.00) 
(679,  916.08) 
(680,  918.17) 
(681,  920.25) 
(682,  922.33) 
(683,  924.42) 
(684,  926.50) 
(685,  928.58) 
(686,  930.67) 
(687,  932.75) 
(688,  934.83) 
(689,  936.92) 
(690,  939.00) 
(691,  941.08) 
(692,  943.17) 
(693,  945.25) 
(694,  947.33) 
(695,  949.42) 
(696,  951.50) 
(697,  953.58) 
(698,  955.67) 
(699,  957.75) 
(700,  959.83) 
(701,  961.92) 
(702,  964.00) 
(702,  964.00) 
(703,  964.86) 
(704,  965.71) 
(705,  966.57) 
(706,  967.43) 
(707,  968.29) 
(708,  969.14) 
(709,  970.00) 
(710,  970.86) 
(711,  971.71) 
(712,  972.57) 
(713,  973.43) 
(714,  974.29) 
(715,  975.14) 
(716,  976.00) 
(717,  976.86) 
(718,  977.71) 
(719,  978.57) 
(720,  979.43) 
(721,  980.29) 
(722,  981.14) 
(723,  982.00) 
(724,  982.86) 
(725,  983.71) 
(726,  984.57) 
(727,  985.43) 
(728,  986.29) 
(729,  987.14) 
(730,  988.00) 
(731,  988.86) 
(732,  989.71) 
(733,  990.57) 
(734,  991.43) 
(735,  992.29) 
(736,  993.14) 
